#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           1           423223.39        304.470        336226.75        243.006        541626.43        387.166       -20.56%     27.98%
           1           2                   0              0                0              0                0              0            0%         0%
           2           3                   0              0                0              0                0              0            0%         0%
