               0         0.56859983       0.0019199588     0.066792828        0.002873218      0.78941156       0.0013330709
              40          3.5457732       0.0032473275       3.3903497       0.0022591035       3.5796438       0.0030451014
              80          4.7664253         0.00355314       4.2586754       0.0024736154         5.20065       0.0052894046
             120           4.038715       0.0032056961       3.4806087        0.002227641       4.6517489       0.0047767901
             160           2.728422        0.002515878       2.2943351       0.0017457907       3.2513472       0.0037523125
             200          1.6515768       0.0015739173        1.363944       0.0010914948        2.015661       0.0023496156
             240          0.9536921      0.00092618845      0.77715421      0.00063919492       1.1839796       0.0013907817
             280         0.51500685      0.00045155781      0.41475254      0.00031055635      0.64889802      0.00068096345
             330         0.26084791       0.0003413794      0.20796726      0.00022902139      0.33276629      0.00052861334
             380         0.13641387      0.00025465376      0.10787533      0.00016977887      0.17577351      0.00039636657
             430        0.066416985      5.9410549e-05     0.052148417      4.0476974e-05     0.086324158      9.0588258e-05
             500        0.012933039      6.2600204e-06     0.010055007      4.2512025e-06     0.017011409      9.5956942e-06
             800      4.9521531e-05      2.7551107e-08    3.799322e-05      1.8790019e-08   6.6185163e-05       4.209928e-08
            6500      4.9521531e-05      2.7551107e-08    3.799322e-05      1.8790019e-08   6.6185163e-05       4.209928e-08
