               0         0.81163201       0.0011692587      0.63903961       0.0016580078      0.86191337      0.00085192152
              40          3.3113589       0.0020335864       3.0357446        0.001478116       3.5235324       0.0027173741
              80          4.1243182       0.0022772149       3.6321719       0.0016501386       4.6337359       0.0032388575
             120           3.362182       0.0020693809       2.8893802       0.0014932792       3.9075156       0.0029529947
             160          2.2165498        0.001631744       1.8704985       0.0011741304       2.6385407        0.002333773
             200          1.3195264       0.0010386651       1.0978596      0.00074593349       1.5994454       0.0014889622
             240          0.7539369      0.00060791636      0.62034301      0.00043483913      0.92670455      0.00087573068
             280         0.40405146      0.00029567502      0.32905927      0.00021088588      0.50302724      0.00042749642
             330         0.20375951      0.00021493044      0.16440982      0.00014991146      0.25659755      0.00031823461
             380         0.10640137      0.00015891272     0.085174303       0.0001100036       0.1353121      0.00023691254
             430        0.051870736      3.8615081e-05     0.041214876      2.7317515e-05     0.066574828      5.6377309e-05
             500        0.010198961      4.0975097e-06    0.0080085188      2.8918931e-06     0.013285084       6.011106e-06
             800      4.0641047e-05      1.8515464e-08   3.1241387e-05      1.3096659e-08   5.4385949e-05      2.7143367e-08
            6500      4.0641047e-05      1.8515464e-08   3.1241387e-05      1.3096659e-08   5.4385949e-05      2.7143367e-08
